,Date,Year,Type,Country,Sex,Age,Fatal (Y/N),Time,Fatal,Male,Female
0,25-Jun-2018,2018.0,Boating,USA,F,57,N,Tarde,0,0,1
1,18-Jun-2018,2018.0,Unprovoked,USA,F,11,N,Tarde,0,0,1
2,09-Jun-2018,2018.0,Invalid,USA,M,48,N,Manhã,0,1,0
3,08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
4,04-Jun-2018,2018.0,Provoked,MEXICO,M,Não informada,N,Manhã,0,1,0
5,03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
6,03-Jun-2018,2018.0,Unprovoked,BRAZIL,M,18,Y,Tarde,1,1,0
7,27-May-2018,2018.0,Unprovoked,USA,M,52,N,Manhã,0,1,0
8,26-May-2018,2018.0,Unprovoked,USA,M,15,N,Tarde,0,1,0
9,26-May-2018,2018.0,Unprovoked,USA,M,12,N,Tarde,0,1,0
10,24-May-2018,2018.0,Provoked,AUSTRALIA,M,32,N,Manhã,0,1,0
11,21-May-2018,2018.0,Unprovoked,USA,M,10,N,Manhã,0,1,0
12,13-May-2018,2018.0,Unprovoked,USA,M,10,N,Tarde,0,1,0
13,13-May-2018,2018.0,Invalid,ENGLAND,M,21,N,Manhã,0,1,0
15,12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,M,Não informada,N,Manhã,0,1,0
16,09-May-2018,2018.0,Questionable,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
17,30-Apr-2018,2018.0,Unprovoked,THAILAND,M,Não informada,N,Manhã,0,1,0
18,28-Apr-2018,2018.0,Unprovoked,COSTA RICA,M,30,N,Manhã,0,1,0
19,28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
20,25-Apr-2018,2018.0,Questionable,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
21,25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,60,N,Manhã,0,1,0
22,24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
23,23-Apr-2018,2018.0,Unprovoked,MALDIVES,M,32,N,Noite,0,1,0
24,22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,M,33,N,Manhã,0,1,0
25,19-Apr-2018,2018.0,Unprovoked,USA,M,29,N,Manhã,0,1,0
26,15-Apr-2018,2018.0,Unprovoked,THAILAND,M,54,N,Manhã,0,1,0
27,15-Apr-2018,2018.0,Unprovoked,BRAZIL,M,34,N,Manhã,0,1,0
28,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,41,N,Manhã,0,1,0
29,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,37,N,Manhã,0,1,0
30,14-Apr-2018,2018.0,Unprovoked,BAHAMAS,M,Não informada,N,Manhã,0,1,0
31,10-Apr-2018,2018.0,Invalid,BRAZIL,M,56,N,Manhã,0,1,0
33,05-Apr-2018,2018.0,Unprovoked,BAHAMAS,M,12,N,Tarde,0,1,0
34,03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,M,19,N,Tarde,0,1,0
35,31-Mar-2018,2018.0,Unprovoked,USA,M,25,N,Manhã,0,1,0
36,14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,M,10,N,Tarde,0,1,0
39,24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,M,38,N,Manhã,0,1,0
40,23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,F,55,N,Noite,0,0,1
41,18-Feb-2018,2018.0,Provoked,AUSTRALIA,M,34,N,Noite,0,1,0
42,15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,M,35,N,Tarde,0,1,0
43,14-Feb-2018,2018.0,Invalid,AUSTRALIA,F,Não informada,N,Tarde,0,0,1
44,11-Feb-2018,2018.0,Invalid,BRAZIL,F,46,N,Manhã,0,0,1
45,03-Feb-2018,2018.0,Unprovoked,ECUADOR,M,45,N,Manhã,0,1,0
46,01-Feb-2018,2018.0,Invalid,AUSTRALIA,M,14,N,Manhã,0,1,0
47,28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,18,N,Manhã,0,1,0
48,21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,M,40,N,Tarde,0,1,0
49,14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
50,13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,28,N,Manhã,0,1,0
51,12-Jan-2018,2018.0,Unprovoked,BRAZIL,M,20,N,Tarde,0,1,0
52,05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
53,31-Dec-2017,2017.0,Unprovoked,USA,F,54,N,Tarde,0,0,1
54,30-Dec-2017,2017.0,Unprovoked,USA,F,35,N,Manhã,0,0,1
55,21-Dec-2017,2017.0,Provoked,MALAYSIA,M,24,N,Manhã,0,1,0
56,09-Dec-2017,2017.0,Unprovoked,BAHAMAS,F,25,N,Manhã,0,0,1
57,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,M,26,N,Manhã,0,1,0
58,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,F,49,Y,Manhã,1,0,1
60,24-Nov-2017,2017.0,Unprovoked,USA,M,25,N,Manhã,0,1,0
61,18-Nov-2017,2017.0,Unprovoked,USA,F,14,N,Tarde,0,0,1
63,13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,M,25,N,Tarde,0,1,0
64,04-Nov-2017,2017.0,Unprovoked,CUBA,M,22,Y,Noite,1,1,0
65,31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,M,7,N,Manhã,0,1,0
66,28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,M,31,N,Manhã,0,1,0
